material_id,material,normalizado,categoria,unidad_bom,cantidad_bom,proveedor,producto,marca,unidad_comercial,contenido_comercial,cantidad_comercial_a_comprar,precio_comercial,precio_equiv,subtotal_real,sobrante,tipo_coincidencia,url,disponibilidad,fecha_consulta,metodo_extraccion,confianza,score_total,recomendado,observaciones
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Promart,Cable THW90 450/750 V 12 AWG Celsa Rojo 100m,Celsa,m,100.0,1.0,275.0,2.75,275.0,60.0,similar_pendiente_revision,https://www.promart.pe/cable-thw-90-450-750-v-12-awg-rojo/p,disponible (146),2026-06-08T16:50:15-05:00,cache,0.88,0.7246,False,Extraido de endpoint publico VTEX de Promart; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Sodimac,Cable de cobre desnudo 16 mm2 por Metro Lineal,ELCOPE,m,1.0,40.0,15.9,15.9,636.0,0.0,similar_pendiente_revision,https://www.falabella.com.pe/falabella-pe/product/113531839/Cable-de-cobre-desnudo-16-mm2-por-Metro-Lineal,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': '', 'expressShipping': ''}",2026-06-08T16:50:19-05:00,cache,0.7,0.6096,False,Extraido de __NEXT_DATA__ del catalogo unificado Falabella; vendedor: SODIMAC; seccion coincide; seccion coincide
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Sodimac,Cable de cobre desnudo 16 mm2 por Metro Lineal,INDECO,m,1.0,40.0,12.9,12.9,516.0,0.0,similar_pendiente_revision,https://www.falabella.com.pe/falabella-pe/product/113526682/cable-de-cobre-desnudo-16-mm2-por-metro-lineal,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': '', 'expressShipping': ''}",2026-06-08T16:50:19-05:00,cache,0.7,0.6599,False,Extraido de __NEXT_DATA__ del catalogo unificado Falabella; vendedor: SODIMAC; seccion coincide; seccion coincide
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Sodimac,Cable THW 12 AWG Azul R10,ELCOPE,m,1.0,40.0,32.9,32.9,1316.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/product/144682450/cable-thw-12-awg-azul-r10,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': '', 'expressShipping': ''}",2026-06-08T16:50:19-05:00,cache,0.7,0.2915,False,Extraido de __NEXT_DATA__ del catalogo unificado Falabella; vendedor: SODIMAC; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Sodimac,Cable THW 12 AWG Negro R10,ELCOPE,m,1.0,40.0,32.9,32.9,1316.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/product/144682468/cable-thw-12-awg-negro-r10,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': '', 'expressShipping': ''}",2026-06-08T16:50:19-05:00,cache,0.7,0.3075,False,Extraido de __NEXT_DATA__ del catalogo unificado Falabella; vendedor: SODIMAC; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Sodimac,Cable THW 14 AWG Rojo R10,ELCOPE,m,1.0,40.0,19.9,19.9,796.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/product/144682467/cable-thw-14-awg-rojo-r10,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': '', 'expressShipping': ''}",2026-06-08T16:50:19-05:00,cache,0.7,0.3639,False,Extraido de __NEXT_DATA__ del catalogo unificado Falabella; vendedor: SODIMAC; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Maestro,Cable de cobre desnudo 16 mm2 por Metro Lineal,,m,1.0,40.0,15.9,15.9,636.0,0.0,similar_pendiente_revision,https://www.falabella.com.pe/falabella-pe/search?Ntt=cable+electrico+thw+16+mm2+cobre,no especificada,2026-06-08T16:50:28-05:00,cache,0.65,0.6107,False,Extraido con selectores HTML; seccion coincide; seccion coincide
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Maestro,Cable THW 12 AWG Azul R10,,m,1.0,40.0,32.9,32.9,1316.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/search?Ntt=cable+electrico+thw+16+mm2+cobre,no especificada,2026-06-08T16:50:28-05:00,cache,0.65,0.2901,False,Extraido con selectores HTML; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Maestro,Cable THW 12 AWG Negro R10,,m,1.0,40.0,32.9,32.9,1316.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/search?Ntt=cable+electrico+thw+16+mm2+cobre,no especificada,2026-06-08T16:50:28-05:00,cache,0.65,0.3034,False,Extraido con selectores HTML; seccion no visible; seccion no visible
M001,Cable TW THW 16 mm2 (alimentador trifasico),cable electrico thw 16 mm2 cobre,cables,m,40.0,Maestro,Cable THW 14 AWG Rojo R10,,m,1.0,40.0,19.9,19.9,796.0,0.0,exacta,https://www.falabella.com.pe/falabella-pe/search?Ntt=cable+electrico+thw+16+mm2+cobre,no especificada,2026-06-08T16:50:28-05:00,cache,0.65,0.3631,False,Extraido con selectores HTML; seccion no visible; seccion no visible
